"glist_n","coexp","coexp_pos_adj","coexp_neg_adj","No_coexp.FPR.orig","No_coexp.FPR.sqr","No_coexp.FPR.abs","No_coexp.FPR.nsig","No_coexp.FPR.nsig.fdr","No_spin.FPR.orig","No_spin.FPR.sqr","No_spin.FPR.abs","No_spin.FPR.nsig","No_spin.FPR.nsig.fdr","Spin.FPR.orig","Spin.FPR.sqr","Spin.FPR.abs","Spin.FPR.nsig","Spin.FPR.nsig.fdr"
5,-0.082965986471565,0.184473329750014,-0.267439316221579,0.011,0.056,0.059,0.011,0.01,0.041,0.059,0.059,0.045,0.046,0.038,0.056,0.056,0.031,0.035
19,0.0126224200562233,0.217611865103912,-0.204989445047689,0.061,0.058,0.05,0.026,0.01,0.052,0.053,0.051,0.044,0.038,0.05,0.048,0.049,0.037,0.027
14,0.0809196710129537,0.293155857607229,-0.212236186594276,0.177,0.048,0.046,0.011,0.007,0.058,0.052,0.053,0.052,0.036,0.047,0.047,0.05,0.043,0.022
58,0.0392728538990974,0.271639916772005,-0.232367062872907,0.274,0.089,0.102,0.035,0.003,0.052,0.058,0.054,0.051,0.034,0.05,0.047,0.049,0.041,0.024
6,0.0596502742634291,0.20456829283282,-0.144918018569391,0.063,0.04,0.046,0.009,0.009,0.052,0.052,0.056,0.021,0.044,0.046,0.045,0.045,0.026,0.026
47,0.0292562968147076,0.277645789352827,-0.248389492538119,0.183,0.07,0.089,0.028,0.002,0.057,0.054,0.053,0.049,0.031,0.052,0.049,0.053,0.043,0.021
9,0.00460115900371282,0.204909738585602,-0.200308579581889,0.015,0.077,0.08,0.021,0.01,0.051,0.052,0.05,0.049,0.043,0.042,0.046,0.052,0.035,0.028
160,0.0569267252113139,0.283174014507445,-0.226247289296131,0.47,0.093,0.11,0.043,0.007,0.06,0.057,0.054,0.052,0.029,0.057,0.047,0.049,0.045,0.024
6,-0.0679207582960413,0.241165264648835,-0.309086022944876,0.002,0.01,0.016,0.01,0.008,0.052,0.044,0.051,0.033,0.041,0.044,0.043,0.041,0.035,0.027
8,0.0111278670465,0.292890791904283,-0.281762924857783,0.039,0.074,0.089,0.03,0.023,0.052,0.057,0.057,0.038,0.043,0.047,0.048,0.048,0.038,0.027
86,0.0698382858807243,0.284834976151894,-0.214996690271169,0.4,0.089,0.086,0.035,0.006,0.058,0.059,0.057,0.051,0.03,0.059,0.05,0.052,0.044,0.023
152,0.0449578799048524,0.274960466589521,-0.230002586684668,0.482,0.119,0.127,0.052,0.005,0.059,0.054,0.053,0.052,0.034,0.056,0.047,0.05,0.044,0.024
18,0.0523290022004006,0.332836118132902,-0.280507115932501,0.083,0.035,0.047,0.014,0.01,0.055,0.054,0.054,0.048,0.034,0.045,0.05,0.052,0.038,0.029
17,0.0331572896409751,0.329658357578793,-0.296501067937818,0.044,0.04,0.056,0.015,0.012,0.052,0.053,0.052,0.046,0.037,0.049,0.051,0.049,0.038,0.03
63,0.0608737194755119,0.268150375448654,-0.207276655973142,0.244,0.085,0.072,0.033,0.007,0.059,0.057,0.055,0.049,0.034,0.056,0.049,0.048,0.046,0.021
9,0.0505073612238273,0.328326725860139,-0.277819364636312,0.035,0.068,0.085,0.015,0.014,0.051,0.058,0.057,0.041,0.039,0.041,0.055,0.053,0.04,0.028
40,0.0690375781525042,0.257482446655565,-0.188444868503061,0.229,0.052,0.055,0.025,0.005,0.063,0.054,0.058,0.046,0.032,0.058,0.048,0.053,0.043,0.022
34,0.0703810148159296,0.270426743099945,-0.200045728284015,0.228,0.044,0.044,0.02,0.002,0.063,0.053,0.058,0.047,0.036,0.056,0.054,0.056,0.047,0.027
47,0.0353148486662823,0.306443004748614,-0.271128156082332,0.135,0.055,0.071,0.024,0.009,0.055,0.05,0.056,0.045,0.028,0.057,0.049,0.05,0.043,0.022
42,0.0192639709923117,0.294917753260111,-0.275653782267799,0.064,0.041,0.053,0.026,0.008,0.054,0.051,0.054,0.049,0.026,0.053,0.05,0.052,0.044,0.021
5,0.647007381225163,0.647007381225163,0,0.322,0.127,0.162,0.042,0.023,0.04,0.043,0.041,0.022,0.036,0.04,0.044,0.046,0.025,0.033
86,0.0471293432443558,0.273611896008322,-0.226482552763967,0.294,0.113,0.118,0.053,0.008,0.06,0.053,0.053,0.051,0.036,0.057,0.048,0.05,0.045,0.025
10,-0.00573378735725067,0.22966497687647,-0.235398764233721,0.058,0.049,0.048,0.019,0.005,0.059,0.06,0.057,0.035,0.044,0.057,0.055,0.052,0.036,0.03
15,0.0460855773126909,0.235801334087229,-0.189715756774538,0.108,0.057,0.044,0.033,0.013,0.061,0.058,0.063,0.042,0.036,0.061,0.056,0.06,0.042,0.027
6,-0.0810490944215117,0.13603216995259,-0.217081264374102,0.034,0.06,0.041,0.026,0.016,0.051,0.056,0.063,0.02,0.045,0.044,0.048,0.055,0.033,0.025
26,0.0109191073157279,0.322457855873199,-0.311538748557471,0.034,0.112,0.159,0.044,0.013,0.053,0.057,0.056,0.051,0.027,0.054,0.051,0.051,0.045,0.021
10,0.183799102379947,0.437593875611254,-0.253794773231306,0.156,0.061,0.091,0.02,0.011,0.064,0.053,0.054,0.052,0.034,0.049,0.049,0.047,0.045,0.028
13,0.139794380929014,0.377733664711445,-0.237939283782431,0.212,0.086,0.11,0.025,0.01,0.051,0.06,0.055,0.049,0.035,0.036,0.049,0.048,0.041,0.026
54,0.0603313186698907,0.258802840630908,-0.198471521961017,0.287,0.083,0.072,0.029,0.009,0.055,0.053,0.052,0.051,0.037,0.054,0.047,0.054,0.039,0.026
33,0.0493677321355756,0.244813948669348,-0.195446216533772,0.189,0.072,0.058,0.029,0.008,0.049,0.052,0.051,0.053,0.034,0.048,0.047,0.051,0.04,0.024
15,0.0307634105705492,0.210143576130011,-0.179380165559461,0.102,0.067,0.056,0.035,0.012,0.05,0.051,0.054,0.051,0.038,0.044,0.048,0.051,0.04,0.023
6,0.0961679035179274,0.322997309307178,-0.22682940578925,0.076,0.042,0.043,0.017,0.008,0.038,0.044,0.049,0.036,0.039,0.034,0.044,0.051,0.032,0.023
5,0.0189279907037152,0.294703643244629,-0.275775652540914,0.035,0.035,0.033,0.016,0.005,0.04,0.054,0.054,0.029,0.041,0.033,0.045,0.051,0.03,0.022
29,0.0643688870909848,0.305365373198275,-0.24099648610729,0.247,0.074,0.09,0.036,0.007,0.065,0.059,0.06,0.05,0.035,0.057,0.053,0.055,0.048,0.026
7,0.154352569117965,0.308842389925708,-0.154489820807743,0.087,0.032,0.033,0.017,0.011,0.033,0.052,0.052,0.03,0.038,0.031,0.05,0.049,0.028,0.026
7,0.361142586751727,0.567235833268738,-0.20609324651701,0.254,0.055,0.092,0.014,0.008,0.064,0.051,0.053,0.041,0.032,0.049,0.043,0.041,0.035,0.029
5,0.0585612820089068,0.197837264417439,-0.139275982408532,0.113,0.102,0.108,0.03,0.016,0.05,0.042,0.042,0.033,0.039,0.042,0.035,0.036,0.022,0.021
72,0.0666338467411135,0.307228041175723,-0.24059419443461,0.386,0.113,0.136,0.048,0.009,0.06,0.054,0.055,0.05,0.036,0.057,0.05,0.051,0.048,0.029
5,-0.186162204009711,0.251909676193489,-0.4380718802032,0,0.051,0.068,0.021,0.017,0.039,0.051,0.053,0.032,0.047,0.036,0.049,0.049,0.035,0.035
23,-0.0020376022556964,0.354164406344803,-0.3562020086005,0.076,0.096,0.136,0.036,0.013,0.049,0.057,0.054,0.055,0.023,0.036,0.051,0.05,0.044,0.021
16,0.147913201193123,0.431640151335501,-0.283726950142378,0.31,0.081,0.118,0.035,0.016,0.051,0.054,0.054,0.05,0.034,0.047,0.05,0.051,0.042,0.029
8,0.356603622615792,0.397226145071629,-0.0406225224558368,0.324,0.123,0.126,0.044,0.025,0.062,0.063,0.067,0.047,0.053,0.055,0.06,0.059,0.038,0.038
36,0.163037536457739,0.335270697307757,-0.172233160850018,0.47,0.108,0.117,0.048,0.012,0.057,0.056,0.056,0.052,0.042,0.057,0.053,0.059,0.049,0.033
19,0.174079039230157,0.335195915322186,-0.161116876092029,0.34,0.082,0.078,0.025,0.013,0.061,0.053,0.061,0.044,0.041,0.055,0.049,0.051,0.04,0.032
5,-0.0331639334722163,0.231091580177076,-0.264255513649292,0.03,0.046,0.042,0.018,0.012,0.051,0.064,0.065,0.041,0.051,0.052,0.053,0.058,0.039,0.037
5,0.345969412844872,0.396265301851213,-0.0502958890063413,0.166,0.023,0.02,0.013,0.008,0.068,0.055,0.057,0.039,0.038,0.055,0.051,0.053,0.036,0.026
10,0.134420104794017,0.331045112961005,-0.196625008166988,0.105,0.075,0.075,0.02,0.014,0.057,0.05,0.053,0.035,0.041,0.048,0.049,0.05,0.037,0.03
8,0.0364167365000493,0.296125200626688,-0.259708464126639,0.016,0.084,0.088,0.023,0.014,0.056,0.054,0.054,0.044,0.044,0.053,0.049,0.054,0.037,0.029
67,0.0408687025591342,0.255682688703514,-0.21481398614438,0.241,0.048,0.036,0.019,0.001,0.053,0.053,0.055,0.05,0.027,0.054,0.052,0.053,0.042,0.019
63,0.0392417623281441,0.253718973688643,-0.214477211360499,0.18,0.04,0.042,0.015,0.001,0.053,0.053,0.053,0.048,0.027,0.054,0.052,0.055,0.04,0.019
56,0.0238374062074502,0.238606854709124,-0.214769448501673,0.099,0.036,0.043,0.018,0.002,0.059,0.052,0.053,0.048,0.033,0.056,0.049,0.052,0.042,0.024
27,0.0698157551028986,0.254753667468707,-0.184937912365809,0.097,0.059,0.063,0.023,0.008,0.056,0.056,0.06,0.047,0.035,0.051,0.053,0.05,0.038,0.027
23,0.0359845812710217,0.239216310692163,-0.203231729421141,0.205,0.075,0.059,0.027,0.009,0.056,0.05,0.048,0.05,0.042,0.055,0.047,0.047,0.041,0.026
23,0.0359845812710217,0.239216310692163,-0.203231729421141,0.205,0.075,0.059,0.027,0.009,0.056,0.05,0.048,0.05,0.042,0.055,0.047,0.047,0.041,0.026
7,0.511381419086948,0.570035731937886,-0.0586543128509386,0.381,0.071,0.104,0.022,0.022,0.052,0.053,0.053,0.047,0.046,0.033,0.044,0.041,0.033,0.026
24,0.0485531106209686,0.297835258897446,-0.249282148276477,0.188,0.063,0.088,0.024,0.005,0.059,0.056,0.055,0.05,0.035,0.059,0.052,0.049,0.042,0.025
7,0.511381419086948,0.570035731937886,-0.0586543128509386,0.381,0.071,0.104,0.022,0.022,0.052,0.053,0.053,0.047,0.046,0.033,0.044,0.041,0.033,0.026
77,0.110927760774614,0.300478282368185,-0.189550521593571,0.57,0.113,0.133,0.037,0.008,0.057,0.057,0.059,0.054,0.031,0.049,0.05,0.05,0.044,0.021
10,0.0919203307476123,0.228088540239133,-0.136168209491521,0.109,0.031,0.029,0.011,0.009,0.062,0.055,0.054,0.047,0.042,0.058,0.046,0.047,0.03,0.027
8,0.157338373243101,0.271363562372191,-0.11402518912909,0.166,0.041,0.04,0.014,0.012,0.069,0.055,0.051,0.038,0.04,0.056,0.051,0.051,0.037,0.028
8,-0.022837447860773,0.248423125472888,-0.271260573333661,0.03,0.032,0.027,0.018,0.005,0.05,0.054,0.05,0.043,0.039,0.048,0.047,0.045,0.028,0.024
8,-0.022837447860773,0.248423125472888,-0.271260573333661,0.03,0.032,0.027,0.018,0.005,0.05,0.054,0.05,0.043,0.039,0.048,0.047,0.045,0.028,0.024
6,0.168758337891702,0.307091068939278,-0.138332731047576,0.105,0.036,0.039,0.015,0.008,0.051,0.049,0.044,0.02,0.039,0.039,0.043,0.042,0.023,0.025
6,0.0808935865097544,0.29574387789502,-0.214850291385266,0.039,0.039,0.036,0.008,0.01,0.06,0.052,0.054,0.027,0.048,0.058,0.051,0.049,0.034,0.035
14,0.11785154631836,0.34305552330481,-0.22520397698645,0.135,0.116,0.116,0.043,0.016,0.052,0.065,0.063,0.05,0.046,0.049,0.053,0.056,0.044,0.034
10,0.0320995927236529,0.300520866913019,-0.268421274189366,0.039,0.075,0.079,0.027,0.018,0.06,0.064,0.06,0.045,0.043,0.059,0.052,0.053,0.039,0.032
20,0.031338339834246,0.299659103248257,-0.268320763414011,0.11,0.065,0.091,0.027,0.01,0.063,0.059,0.057,0.048,0.037,0.055,0.052,0.054,0.045,0.029
17,-0.00737900930979958,0.23988493239514,-0.24726394170494,0.011,0.055,0.055,0.02,0.011,0.058,0.05,0.046,0.042,0.035,0.052,0.046,0.046,0.033,0.021
24,0.281660815136804,0.388932897993876,-0.107272082857072,0.563,0.079,0.077,0.028,0.008,0.062,0.058,0.06,0.046,0.035,0.053,0.055,0.052,0.044,0.025
5,0.191893052882214,0.289200104269159,-0.0973070513869446,0.12,0.061,0.048,0.021,0.011,0.065,0.071,0.073,0.058,0.051,0.057,0.063,0.064,0.035,0.032
12,0.14133867899329,0.299461390771941,-0.158122711778651,0.22,0.04,0.035,0.018,0.011,0.063,0.05,0.05,0.039,0.041,0.049,0.048,0.043,0.032,0.025
9,0.0397795557598944,0.241671387100982,-0.201891831341087,0.055,0.034,0.031,0.014,0.015,0.052,0.044,0.049,0.038,0.046,0.043,0.042,0.041,0.027,0.027
8,0.424632684107268,0.437833540086681,-0.0132008559794133,0.372,0.027,0.025,0.008,0.011,0.058,0.054,0.054,0.042,0.041,0.048,0.05,0.047,0.036,0.027
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.003,0.027,0.022,0.011,0.012,0.049,0.05,0.053,0.043,0.04,0.042,0.046,0.053,0.028,0.027
5,-0.0771401384511522,0.17094740123055,-0.248087539681702,0.003,0.027,0.022,0.011,0.012,0.049,0.05,0.053,0.043,0.04,0.042,0.046,0.053,0.028,0.027
7,0.172472294365082,0.261788122411177,-0.0893158280460952,0.116,0.094,0.095,0.026,0.016,0.058,0.046,0.05,0.02,0.041,0.054,0.041,0.042,0.024,0.029
7,0.238936465197714,0.311764345582464,-0.0728278803847501,0.171,0.085,0.083,0.028,0.015,0.045,0.051,0.049,0.022,0.042,0.034,0.044,0.046,0.022,0.029
37,0.0442126077783987,0.250316576382006,-0.206103968603607,0.198,0.081,0.077,0.041,0.008,0.069,0.051,0.045,0.044,0.038,0.064,0.045,0.05,0.038,0.026
29,0.0347918361910319,0.256922344946942,-0.22213050875591,0.145,0.065,0.068,0.032,0.008,0.059,0.046,0.05,0.041,0.036,0.061,0.048,0.051,0.035,0.027
